,Team,Tempo-Adj,Avg. Poss Length-Offense,Avg. Poss Length-Defense,Off. Efficiency-Adj,Def. Efficiency-Adj,AdjTempo,AdjOE_x,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,AdjDE,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,3P%,2P%,FT%,Blk%,Stl%,A%,3PA%,AdjOE_y,Off-FT,Off-2P,Off-3P,Def-FT,Def-2P,Def-3P
11,Arizona St.,67.2,17.5,17.6,101.4,93.2,67.2,101.4,47.1,17.3,24.9,21.2,93.2,46.3,19.6,30.3,32.3,30.7,47.7,66.1,8.2,8.9,8.4,53.4,37.2,13.0,55.4,31.7,20.1,46.9,33.0
12,Arkansas,70.6,16.4,16.9,111.0,92.0,70.6,111.0,49.2,17.4,30.9,37.9,92.0,47.5,20.6,25.8,32.3,30.7,50.9,75.3,8.7,9.5,7.9,52.9,34.3,22.5,52.7,24.8,19.9,47.6,32.5
13,Arkansas Pine Bluff,67.0,17.2,17.4,98.0,119.4,67.0,98.0,46.6,19.7,25.0,33.6,119.4,55.5,18.7,36.2,34.6,29.8,48.0,70.9,10.7,11.1,8.6,48.7,40.5,20.3,48.8,30.9,18.5,58.2,23.3
14,Arkansas St.,68.2,16.9,17.8,100.1,101.0,68.2,100.1,49.3,20.6,29.4,34.5,101.0,49.2,19.2,28.4,28.1,31.9,50.0,74.5,8.9,10.6,10.1,60.5,31.5,20.7,55.1,24.2,16.8,55.1,28.2
15,Army,68.7,15.9,18.6,96.6,107.8,68.7,96.6,48.8,18.9,29.8,32.1,107.8,52.8,19.4,27.3,22.9,31.9,49.3,64.0,10.7,10.8,8.1,47.1,34.6,17.4,54.6,28.0,12.9,50.3,36.7
16,Auburn,70.0,16.8,16.6,113.6,89.1,70.0,113.6,50.4,16.7,33.1,31.6,89.1,44.1,20.7,29.4,34.8,32.1,51.9,73.3,10.1,10.3,6.5,52.1,39.9,18.7,50.3,31.0,22.3,47.7,29.9
17,Austin Peay,64.5,18.8,17.5,95.0,105.7,64.5,95.0,46.6,21.3,29.5,25.7,105.7,52.5,20.9,30.4,36.1,30.8,46.9,70.3,11.2,10.8,10.5,59.1,44.4,16.3,46.8,36.9,19.2,52.4,28.4
18,BYU,67.7,17.6,16.8,110.2,96.5,67.7,110.2,51.2,18.6,30.9,28.1,96.5,47.8,15.2,22.5,30.5,34.6,50.8,73.1,8.2,8.8,9.8,50.9,36.6,16.7,52.5,30.9,17.8,53.2,29.0
19,Ball St.,69.8,16.5,16.9,101.8,109.8,69.8,101.8,51.3,19.5,26.8,38.1,109.8,52.4,17.2,28.2,32.8,35.7,49.8,69.6,8.7,10.4,9.1,51.5,41.2,20.5,45.2,34.2,18.3,45.2,36.4
20,Baylor,67.2,17.2,17.6,117.9,91.4,67.2,117.9,52.9,18.2,36.3,28.5,91.4,47.8,22.9,28.4,26.9,34.6,53.5,69.8,7.3,9.4,8.8,56.1,37.7,15.8,53.0,31.1,16.5,55.4,28.1
21,Bellarmine,61.9,19.1,18.6,108.2,110.6,61.9,108.2,53.3,15.0,22.4,22.1,110.6,54.4,17.7,30.5,30.2,34.2,54.8,74.8,7.4,8.0,7.0,52.4,41.9,13.4,51.8,34.9,16.3,45.6,38.0
22,Belmont,68.8,15.9,18.2,108.8,99.1,68.8,108.8,55.7,16.8,24.4,25.9,99.1,49.4,20.9,27.8,23.5,32.8,60.7,73.7,10.5,9.4,7.4,61.8,43.4,14.6,52.7,32.7,14.3,50.7,35.0
23,Bethune Cookman,65.7,18.3,17.1,93.3,109.9,65.7,93.3,45.4,19.8,27.8,28.8,109.9,51.5,20.4,30.9,35.5,33.7,43.7,68.1,11.1,10.2,9.6,45.0,25.5,17.8,58.9,23.3,20.3,51.5,28.2
24,Binghamton,67.0,17.8,17.7,95.0,105.9,67.0,95.0,48.8,18.8,26.7,23.2,105.9,49.9,15.9,27.1,30.1,34.7,47.0,66.8,9.2,10.1,8.7,44.0,35.7,13.7,53.5,32.8,17.0,51.8,31.2
25,Boise St.,64.6,18.6,18.3,108.4,92.2,64.6,108.4,51.1,18.5,30.6,35.2,92.2,48.2,20.1,21.9,25.8,34.1,51.1,65.0,8.9,8.0,10.5,46.8,38.6,18.3,50.1,31.6,16.2,55.7,28.1
26,Boston College,64.8,18.5,17.9,104.0,100.5,64.8,104.0,47.8,17.9,30.0,29.6,100.5,51.5,18.7,25.7,31.5,30.9,48.5,70.4,10.1,10.1,7.8,50.4,32.4,17.9,56.3,25.8,18.5,49.7,31.8
27,Boston University,65.1,18.3,18.2,105.7,109.1,65.1,105.7,52.4,18.4,31.1,28.9,109.1,50.4,16.8,24.2,29.1,35.3,52.1,74.0,10.6,10.3,8.0,41.0,37.7,17.0,51.4,31.6,17.6,56.1,26.3
28,Bowling Green,72.7,15.6,17.0,103.2,113.0,72.7,103.2,48.6,16.5,29.9,31.9,113.0,53.5,17.3,30.7,30.8,33.1,48.0,74.2,6.6,8.4,8.1,43.5,36.9,19.6,50.1,30.3,17.7,46.7,35.6
29,Bradley,67.1,16.8,18.6,105.0,96.7,67.1,105.0,51.1,19.9,31.9,27.3,96.7,46.9,18.2,23.3,30.2,34.0,51.1,68.5,6.4,10.7,9.2,52.2,39.5,15.5,51.1,33.4,19.3,49.2,31.5
30,Brown,67.2,16.9,17.4,100.4,103.3,67.2,100.4,49.4,19.1,28.2,31.6,103.3,51.1,19.5,28.2,33.2,31.7,50.6,69.5,7.4,9.3,9.8,46.6,38.9,18.2,51.2,30.6,18.4,50.6,31.0
31,Bryant,72.2,16.4,16.9,104.2,105.1,72.2,104.2,49.7,19.1,33.0,32.7,105.1,47.4,16.4,31.5,24.4,30.7,52.6,73.4,12.7,10.1,9.0,50.6,43.7,19.5,48.0,32.6,14.9,56.1,29.0
32,Bucknell,67.5,17.5,17.6,100.0,117.2,67.5,100.0,52.8,19.3,21.9,28.3,117.2,53.8,13.8,30.0,22.9,37.6,50.6,76.5,8.2,12.1,7.2,57.5,37.6,17.0,49.6,33.3,13.8,51.9,34.4
33,Buffalo,70.9,15.8,17.6,107.2,103.6,70.9,107.2,51.6,18.6,37.0,25.6,103.6,48.2,15.8,27.9,29.4,34.4,51.6,71.6,8.5,8.7,9.9,50.1,37.2,15.1,53.4,31.6,17.8,56.0,26.2
34,Butler,63.7,19.4,17.5,102.5,98.9,63.7,102.5,47.1,18.2,27.1,30.2,98.9,49.9,17.1,27.4,30.2,29.7,48.9,68.9,13.9,8.6,9.6,47.3,41.8,18.1,49.5,32.4,17.9,52.8,29.3
35,Cal Baptist,67.5,16.9,17.8,99.1,103.4,67.5,99.1,50.3,20.5,27.9,37.4,103.4,48.1,17.3,27.8,33.3,33.4,50.4,67.7,6.6,9.0,11.5,63.9,42.9,20.1,45.8,34.1,19.2,53.8,27.0
36,Cal Poly,64.5,18.7,17.8,93.4,105.7,64.5,93.4,46.1,22.6,27.3,36.3,105.7,48.1,17.0,26.9,36.8,29.5,47.2,73.1,7.8,9.4,13.1,50.8,35.5,22.3,51.3,26.4,22.4,45.6,31.9
37,Cal St. Bakersfield,64.3,19.3,17.9,97.9,106.6,64.3,97.9,44.4,18.0,32.0,29.5,106.6,51.4,20.1,26.1,48.0,28.3,44.9,71.3,5.4,8.7,9.3,39.7,22.9,19.2,63.2,17.7,26.0,42.9,31.2
38,Cal St. Fullerton,66.0,18.0,18.1,104.6,102.6,66.0,104.6,49.2,18.1,29.0,35.7,102.6,50.8,20.2,28.0,26.1,33.5,48.7,76.4,8.3,8.8,9.3,44.7,30.0,21.7,54.3,24.0,15.0,51.1,33.9
39,Cal St. Northridge,64.8,18.8,17.7,94.3,110.1,64.8,94.3,44.4,18.5,26.8,29.6,110.1,51.9,19.9,33.0,36.5,30.2,44.0,68.5,6.8,7.9,10.7,39.5,29.6,18.6,56.8,24.6,21.1,50.2,28.8
40,California,63.9,19.5,17.2,100.8,98.1,63.9,100.8,46.9,17.1,25.3,25.3,98.1,47.5,14.7,23.4,31.5,30.8,47.3,72.7,8.7,8.9,8.3,45.2,31.6,16.4,57.6,26.0,20.1,52.5,27.4
41,Campbell,62.3,19.4,18.4,100.9,104.6,62.3,100.9,51.3,16.4,22.2,26.3,104.6,50.6,18.3,26.1,27.6,33.0,52.4,67.3,9.4,9.5,6.9,55.7,37.9,14.7,54.1,31.1,15.1,51.2,33.8
42,Canisius,68.1,17.1,16.7,97.2,105.7,68.1,97.2,45.4,16.9,28.0,30.2,105.7,51.5,17.8,26.3,32.2,30.2,45.5,69.6,12.1,7.6,9.3,53.3,39.1,18.8,49.6,31.6,18.5,58.2,23.4
43,Central Arkansas,71.8,15.7,17.1,98.9,113.0,71.8,98.9,48.2,18.8,26.2,23.1,113.0,54.8,16.4,30.9,29.8,29.5,50.3,75.4,8.7,10.5,8.3,50.8,35.2,15.3,57.3,27.4,16.4,54.2,29.4
44,Central Connecticut,64.5,18.8,17.2,91.6,111.4,64.5,91.6,46.0,20.6,26.3,29.1,111.4,52.9,18.8,31.8,28.8,34.2,42.6,70.8,11.2,10.5,10.0,49.3,39.2,18.3,46.0,35.7,16.2,51.3,32.5
45,Central Michigan,67.4,17.4,17.3,96.6,109.9,67.4,96.6,47.8,19.6,25.4,30.5,109.9,53.0,16.6,31.3,36.1,34.1,45.5,69.2,9.8,9.2,10.4,49.7,40.1,18.1,46.7,35.2,19.3,47.0,33.7
46,Charleston,73.4,15.6,16.6,104.6,103.0,73.4,104.6,50.3,20.9,35.6,30.4,103.0,51.2,19.1,25.0,37.6,33.9,50.0,73.0,12.7,10.7,10.1,47.2,37.6,18.1,50.8,31.2,21.0,51.2,27.8
47,Charleston Southern,68.8,17.1,17.2,92.4,112.6,68.8,92.4,46.1,21.5,26.3,28.4,112.6,55.3,17.4,25.7,30.0,30.0,47.1,67.7,9.8,11.1,10.4,48.3,45.7,17.2,45.9,36.9,17.1,52.5,30.4
48,Charlotte,65.3,18.2,17.7,104.9,107.5,65.3,104.9,52.9,17.2,22.7,28.0,107.5,52.6,16.9,25.6,26.5,34.5,53.6,79.2,9.2,8.4,8.8,55.4,39.8,17.3,50.5,32.2,16.2,52.4,31.4
49,Chattanooga,64.6,18.9,17.8,110.0,98.7,64.6,110.0,52.8,17.0,32.7,27.0,98.7,49.6,18.0,26.3,27.3,34.1,53.9,76.6,10.0,8.7,8.3,46.6,39.3,16.4,51.8,31.8,16.1,52.5,31.4
50,Chicago St.,65.5,18.2,17.3,95.7,113.1,65.5,95.7,45.8,22.1,31.5,29.3,113.1,53.7,18.7,32.1,38.5,31.0,45.3,65.5,10.9,9.6,12.5,43.7,43.7,17.3,46.0,36.7,20.7,47.3,32.0
51,Cincinnati,67.4,17.1,17.9,104.5,97.4,67.4,104.5,46.9,15.2,30.1,29.6,97.4,45.0,17.9,29.6,34.5,31.4,46.7,67.2,9.6,8.3,6.9,52.9,42.2,17.5,47.5,35.0,21.7,53.4,24.9
52,Clemson,66.1,17.7,18.1,110.0,99.5,66.1,110.0,52.4,16.4,25.8,29.8,99.5,49.7,16.9,24.1,29.1,36.3,51.2,73.6,10.5,8.0,8.4,55.2,37.8,17.3,50.3,32.4,18.3,46.7,35.1
53,Cleveland St.,67.7,16.8,18.2,103.6,105.5,67.7,103.6,53.2,19.6,33.9,36.1,105.5,49.4,21.9,31.8,34.2,32.6,55.3,67.3,10.0,11.1,8.6,60.4,33.6,18.6,56.3,25.1,20.9,45.7,33.3
54,Coastal Carolina,66.0,17.4,18.4,103.1,102.3,66.0,103.1,49.7,20.5,33.9,32.5,102.3,46.1,17.0,29.8,26.3,35.7,47.6,69.5,7.9,11.2,9.3,49.3,35.5,18.5,50.3,31.2,17.0,46.4,36.6
55,Colgate,67.2,17.6,17.5,108.3,104.0,67.2,108.3,55.9,16.9,26.6,26.7,104.0,49.0,16.2,24.8,24.3,40.1,52.7,69.3,8.7,9.6,7.3,62.0,42.1,14.2,46.8,38.9,14.2,54.0,31.7
56,Colorado,67.2,17.1,18.0,106.9,96.0,67.2,106.9,50.4,19.7,30.0,34.6,96.0,48.1,17.5,24.4,27.0,36.6,48.0,75.6,9.8,10.1,9.6,54.0,33.5,20.6,50.3,29.0,16.9,51.5,31.6
57,Colorado St.,65.0,17.4,18.9,114.0,98.4,65.0,114.0,55.2,15.2,21.8,30.4,98.4,49.8,18.4,25.0,25.0,35.7,56.3,77.4,8.6,8.3,6.9,53.5,39.0,17.6,51.2,31.2,15.1,47.9,37.1
58,Columbia,69.4,16.8,16.9,93.2,114.4,69.4,93.2,48.5,21.5,27.5,26.1,114.4,54.8,16.4,28.8,25.1,34.9,46.4,62.7,8.3,11.9,9.6,47.4,36.1,14.4,52.3,33.3,14.4,47.8,37.7
59,Connecticut,64.9,17.8,18.0,113.9,94.6,64.9,113.9,49.6,17.4,37.9,30.6,94.6,45.7,18.0,27.5,31.9,35.3,47.8,75.0,8.3,9.3,8.0,52.2,34.2,18.8,51.5,29.7,19.2,51.0,29.8
60,Coppin St.,72.1,15.4,17.1,92.1,103.7,72.1,92.1,46.0,19.5,20.1,34.6,103.7,49.3,20.3,32.0,28.1,29.7,47.6,68.4,9.8,9.2,10.2,49.4,49.9,20.4,41.2,38.4,16.9,46.1,37.0
61,Cornell,71.6,14.8,18.0,103.5,105.3,71.6,103.5,53.5,19.6,26.1,32.2,105.3,51.0,18.1,28.2,31.3,34.1,55.6,70.3,9.5,9.3,10.3,58.3,46.6,17.5,45.8,36.7,17.3,49.5,33.1
62,Creighton,66.9,17.9,17.4,105.5,92.1,66.9,105.5,50.9,20.5,28.6,26.0,92.1,44.9,15.5,28.4,20.3,30.7,53.9,72.9,9.3,9.9,10.6,51.1,38.2,15.7,55.2,29.1,14.1,55.3,30.6
63,Dartmouth,64.6,18.4,17.4,98.8,101.3,64.6,98.8,48.2,17.4,23.7,24.5,101.3,50.8,19.2,26.9,28.4,33.4,46.6,77.6,7.1,9.3,8.1,42.9,45.0,16.5,44.4,39.1,16.6,52.1,31.3
64,Davidson,64.6,18.4,18.1,116.8,101.8,64.6,116.8,55.6,14.8,23.6,32.9,101.8,49.4,16.9,22.2,28.0,38.5,54.2,75.7,7.1,7.6,7.3,55.0,41.1,18.3,46.9,34.8,17.3,45.5,37.2
65,Dayton,63.0,18.6,18.4,109.0,95.6,63.0,109.0,54.0,19.4,30.6,31.3,95.6,47.3,17.4,23.3,24.1,36.5,53.5,68.2,10.5,9.5,9.9,56.3,34.1,16.5,54.5,28.9,15.5,51.9,32.6
66,DePaul,68.6,16.9,17.1,107.0,100.3,68.6,107.0,48.8,17.4,31.7,33.4,100.3,48.8,16.8,28.5,26.0,31.7,49.4,69.3,8.7,9.0,8.4,43.4,34.2,19.2,53.9,26.9,16.7,52.9,30.4
67,Delaware,66.6,17.9,17.5,106.8,104.5,66.6,106.8,53.5,18.4,26.8,34.6,104.5,49.3,18.5,31.2,29.3,35.0,54.2,74.2,8.0,9.5,8.8,48.2,38.2,19.3,50.5,30.2,18.4,50.8,30.9
68,Delaware St.,68.3,17.3,16.5,86.4,110.6,68.3,86.4,45.0,25.6,27.0,32.4,110.6,51.1,19.3,34.7,34.2,32.2,43.4,67.4,9.9,11.9,13.8,41.3,32.8,19.5,52.1,28.3,19.1,41.7,39.2
69,Denver,66.2,18.4,17.0,100.2,110.8,66.2,100.2,52.7,18.6,23.7,32.0,110.8,52.4,16.5,28.1,32.2,37.1,51.1,69.8,9.2,7.6,11.0,48.3,35.8,17.5,51.4,31.2,18.5,47.3,34.1
70,Detroit Mercy,64.6,18.8,17.9,105.6,110.5,64.6,105.6,52.6,18.1,28.0,23.0,110.5,54.0,19.1,29.5,31.0,36.8,50.0,78.6,6.9,9.2,8.9,48.2,49.4,14.7,41.1,44.2,17.0,49.8,33.2
71,Dixie St.,71.2,15.3,17.6,95.9,105.0,71.2,95.9,46.5,21.0,27.0,35.2,105.0,50.8,17.9,28.9,30.6,29.5,47.8,66.7,11.1,11.3,9.7,60.1,37.3,20.1,51.5,28.4,17.6,52.9,29.5
72,Drake,66.0,18.1,18.2,108.2,98.6,66.0,108.2,50.6,15.8,30.5,28.4,98.6,49.3,19.7,25.9,33.3,32.3,51.6,75.9,7.8,8.0,7.8,42.4,33.9,17.6,55.6,26.8,19.9,49.3,30.8
73,Drexel,66.3,18.1,17.3,104.4,103.5,66.3,104.4,52.0,16.4,25.6,25.4,103.5,50.4,16.2,26.1,26.1,34.7,52.0,71.1,6.6,9.7,6.7,44.7,35.0,14.8,55.4,29.9,15.3,57.6,27.0
74,Duke,67.4,17.5,17.6,119.3,95.6,67.4,119.3,55.6,14.9,31.8,28.6,95.6,47.0,16.1,28.8,18.9,36.8,55.8,72.9,8.1,9.1,5.8,57.0,36.6,15.8,53.6,30.6,11.9,58.3,29.8
75,Duquesne,65.7,17.9,17.9,98.9,108.9,65.7,98.9,45.4,16.9,29.2,21.9,108.9,54.0,19.0,31.6,21.9,30.5,45.2,70.7,10.0,8.8,8.1,40.4,33.3,14.6,56.7,28.7,12.6,56.5,30.9
76,East Carolina,67.5,17.4,17.2,102.8,103.8,67.5,102.8,47.2,18.7,27.6,33.5,103.8,50.5,18.5,28.5,31.0,33.3,45.4,75.4,11.9,10.0,8.7,63.1,39.2,21.1,46.1,32.7,17.6,47.0,35.4
77,East Tennessee St.,65.2,18.1,18.0,107.9,109.1,65.2,107.9,51.8,17.0,30.6,21.7,109.1,53.1,16.6,31.1,26.1,35.1,51.1,70.4,7.4,9.0,7.9,48.3,42.2,12.9,49.7,37.4,14.9,46.7,38.4
78,Eastern Illinois,64.6,19.5,16.5,83.5,108.9,64.6,83.5,44.2,24.3,20.8,31.2,108.9,53.4,18.4,32.7,24.2,31.8,42.3,63.8,13.3,13.0,11.2,58.1,36.2,18.4,49.8,31.8,13.4,50.8,35.8
79,Eastern Kentucky,70.8,16.5,17.0,101.4,109.3,70.8,101.4,48.4,15.6,28.7,21.7,109.3,54.6,22.3,31.8,28.1,33.9,46.0,71.8,10.2,7.8,7.8,53.8,48.5,13.9,42.2,44.0,15.5,52.6,31.9
80,Eastern Michigan,69.1,17.1,16.6,94.1,107.4,69.1,94.1,48.2,19.2,23.3,29.8,107.4,51.6,16.9,28.4,29.3,30.7,49.3,69.9,9.7,9.5,9.7,40.6,35.4,17.8,54.5,27.8,16.7,51.8,31.4
81,Eastern Washington,69.3,16.3,17.7,104.0,107.9,69.3,104.0,52.7,18.3,25.4,33.2,107.9,50.3,15.7,25.9,30.9,36.0,51.9,75.7,8.0,8.3,10.0,58.5,42.5,19.2,45.6,35.1,18.9,47.3,33.8
82,Elon,65.7,18.4,17.1,99.8,107.1,65.7,99.8,49.0,19.9,25.4,25.9,107.1,50.6,16.6,28.8,43.8,33.0,48.6,72.9,10.5,11.2,8.7,50.6,43.9,16.1,46.6,37.2,24.5,45.8,29.6
83,Evansville,63.9,20.8,16.5,92.9,106.9,63.9,92.9,47.0,17.2,14.2,24.6,106.9,56.1,17.9,22.1,31.0,32.6,45.2,71.5,8.8,8.1,9.0,49.9,47.1,15.8,42.9,41.3,16.9,54.4,28.8
84,FIU,66.6,17.2,17.8,97.5,106.3,66.6,97.5,49.9,20.1,27.0,24.6,106.3,50.2,18.5,29.8,31.4,34.0,49.0,70.8,9.9,10.3,9.8,52.8,46.2,14.9,44.9,40.2,18.4,49.3,32.3
85,Fairfield,64.1,18.4,17.5,100.3,104.1,64.1,100.3,49.3,16.9,27.5,26.6,104.1,48.1,17.0,27.9,31.2,33.5,48.6,70.2,10.2,8.1,8.8,45.8,38.7,15.9,50.8,33.3,18.5,57.3,24.2
86,Fairleigh Dickinson,69.5,16.7,17.3,94.9,114.7,69.5,94.9,46.4,19.4,27.8,27.8,114.7,53.8,18.2,34.2,34.1,32.4,45.2,70.8,10.4,9.0,10.4,48.6,35.4,17.5,51.9,30.5,18.1,53.7,28.1
87,Florida,64.8,17.1,18.7,111.3,98.0,64.8,111.3,49.9,18.5,31.7,34.7,98.0,49.2,21.6,32.5,30.1,30.7,53.2,73.5,8.8,11.2,7.2,53.0,46.1,20.4,45.7,33.9,17.6,55.4,27.0
88,Florida A&M,65.4,17.6,18.2,95.0,107.7,65.4,95.0,45.9,18.8,25.9,29.7,107.7,48.2,18.4,34.1,38.9,29.7,46.3,70.6,5.6,9.3,9.5,49.2,26.4,18.6,60.5,20.9,21.3,49.0,29.7
89,Florida Atlantic,67.2,17.6,17.2,106.2,102.3,67.2,106.2,53.5,19.8,31.2,29.5,102.3,50.4,19.2,25.9,32.2,34.9,54.4,71.7,8.9,9.2,10.6,49.4,42.8,16.5,48.6,34.9,18.2,51.6,30.2
90,Florida Gulf Coast,69.7,17.1,17.2,104.3,107.4,69.7,104.3,52.9,18.9,30.2,29.6,107.4,50.4,15.8,27.2,24.2,35.1,53.1,68.8,7.2,9.6,9.4,56.2,46.6,16.1,45.0,38.9,14.1,52.5,33.4
91,Florida St.,67.7,16.9,18.0,104.9,99.6,67.7,104.9,49.0,18.1,31.6,30.3,99.6,52.2,20.9,31.0,30.4,33.1,48.7,70.8,7.8,8.5,9.6,55.7,34.1,17.9,53.7,28.4,17.1,45.7,37.1
92,Fordham,67.5,18.1,16.6,94.7,95.3,67.5,94.7,45.7,18.9,27.2,29.7,95.3,48.0,19.6,26.3,30.4,29.7,46.7,72.7,9.6,8.3,10.6,51.4,42.7,19.1,47.3,33.6,17.7,54.5,27.8
93,Fresno St.,60.8,19.5,19.0,104.9,93.5,60.8,104.9,50.1,18.0,27.4,30.7,93.5,47.9,19.4,22.5,27.2,32.7,50.7,72.8,6.8,8.5,9.4,50.5,38.5,18.2,50.9,30.8,16.2,48.0,35.8
94,Furman,64.7,17.8,18.5,113.9,103.0,64.7,113.9,55.6,15.7,27.4,23.3,103.0,51.5,19.1,28.2,24.6,37.5,55.0,75.8,10.1,8.7,7.0,62.0,51.6,13.7,41.2,45.1,14.8,54.6,30.5
95,Gardner Webb,67.3,17.2,17.8,96.7,96.7,67.3,96.7,49.9,20.0,26.9,28.5,96.7,45.5,19.0,26.3,36.3,33.0,50.3,69.9,9.5,9.4,10.6,52.0,39.5,16.7,50.7,32.6,22.9,47.1,30.0
96,George Mason,64.7,17.7,18.3,106.0,101.2,64.7,106.0,53.0,18.0,24.9,29.1,101.2,49.6,17.2,23.9,29.6,35.7,52.4,69.4,9.4,10.0,8.0,56.1,46.6,16.0,44.4,39.6,17.9,46.0,36.0
97,George Washington,68.8,17.3,17.2,99.5,104.0,68.8,99.5,48.9,17.9,23.2,26.0,104.0,49.6,18.0,31.1,29.3,33.7,48.0,69.8,10.8,9.5,8.4,48.5,35.9,15.7,53.0,31.3,17.5,56.0,26.5
98,Georgetown,69.9,16.9,16.9,104.9,105.5,69.9,104.9,46.2,18.8,32.3,29.0,105.5,53.6,18.0,29.9,27.6,34.2,43.3,74.4,11.4,9.7,9.1,47.5,36.0,18.9,48.6,32.4,15.7,48.1,36.2
99,Georgia,68.5,17.4,16.8,106.8,110.8,68.5,106.8,50.2,20.7,25.8,39.0,110.8,54.6,15.7,30.1,24.1,32.1,51.3,74.7,14.7,11.2,9.5,58.2,37.0,22.5,50.0,27.5,13.7,52.3,34.0
100,Georgia Southern,65.9,17.8,18.1,96.2,103.4,65.9,96.2,47.8,21.3,28.6,31.6,103.4,48.3,18.9,31.2,35.6,29.2,50.1,67.1,8.5,11.0,10.3,48.2,36.3,18.1,54.7,27.2,20.3,47.4,32.3
101,Georgia St.,67.1,17.1,18.4,101.4,99.7,67.1,101.4,45.1,16.9,32.8,30.2,99.7,49.7,22.7,30.7,32.8,32.3,43.1,71.6,8.9,8.9,8.0,52.5,36.9,19.3,48.7,32.0,18.7,45.9,35.3
102,Georgia Tech,67.9,17.4,17.5,100.0,99.7,67.9,100.0,49.6,18.9,25.0,25.0,99.7,50.1,18.8,28.2,31.5,34.3,48.6,69.3,8.4,9.5,9.4,53.1,34.6,14.9,54.6,30.5,18.6,51.3,30.1
103,Gonzaga,72.5,14.5,17.8,121.8,88.9,72.5,121.8,59.4,15.9,29.0,29.8,88.9,43.2,16.9,23.0,22.2,37.9,60.9,73.0,6.8,8.5,7.4,55.3,35.5,15.5,55.9,28.6,15.1,54.1,30.7
104,Grambling St.,69.1,16.6,17.3,93.9,106.1,69.1,93.9,44.6,19.9,27.4,33.4,106.1,48.9,19.3,31.4,40.8,31.1,43.8,71.4,11.4,9.7,10.2,45.2,28.1,21.1,55.7,23.2,22.3,47.4,30.3
105,Grand Canyon,65.3,17.8,17.6,104.8,96.5,65.3,104.8,49.9,19.2,34.9,31.0,96.5,43.5,18.6,28.4,33.0,34.8,48.3,67.2,9.0,8.5,10.7,50.1,39.4,17.3,48.6,34.1,20.8,54.2,25.0
106,Green Bay,64.5,19.4,17.5,92.2,110.5,64.5,92.2,46.5,19.9,26.7,32.0,110.5,53.0,18.2,28.6,31.7,28.0,48.9,71.1,8.8,10.9,9.1,47.6,34.4,19.7,55.3,25.0,18.7,53.6,27.8
107,Hampton,69.0,17.3,17.9,90.8,105.9,69.0,90.8,44.2,18.2,22.0,36.6,105.9,47.3,16.6,31.5,37.9,29.4,44.2,69.7,8.4,8.9,9.2,45.5,35.0,22.4,50.5,27.0,21.0,54.1,25.0
108,Hartford,67.1,18.8,16.8,101.2,111.4,67.1,101.2,53.3,18.1,23.8,27.6,111.4,51.6,16.5,28.4,28.9,36.9,51.5,69.0,9.5,9.8,8.4,48.8,45.2,15.2,44.9,39.9,16.9,50.1,33.0
109,Harvard,67.0,17.2,17.4,97.8,102.7,67.0,97.8,49.5,17.4,25.2,24.5,102.7,52.1,20.7,23.8,32.6,32.6,50.0,67.3,9.4,8.9,8.6,42.3,42.1,14.2,50.1,35.6,18.6,46.9,34.5
110,Hawaii,65.0,18.5,18.3,102.0,101.5,65.0,102.0,50.4,19.7,29.1,32.5,101.5,46.9,15.9,25.1,31.7,34.6,49.5,74.4,8.9,9.3,10.4,50.5,41.1,19.3,46.6,34.1,19.7,56.5,23.8
111,High Point,66.4,18.7,16.8,98.5,104.9,66.4,98.5,48.9,19.5,27.4,33.9,104.9,49.5,17.7,30.2,35.3,32.0,49.4,64.2,9.5,9.3,10.2,48.2,34.2,18.2,54.3,27.5,19.2,53.5,27.3
112,Hofstra,68.9,16.9,17.4,108.7,105.3,68.9,108.7,53.4,14.7,23.3,21.7,105.3,54.4,20.4,26.9,26.3,33.8,55.6,79.7,8.7,7.4,7.3,52.5,44.6,13.9,49.6,36.4,15.1,46.8,38.2
113,Holy Cross,67.0,17.5,18.4,91.3,111.5,67.0,91.3,45.1,18.2,27.3,28.6,111.5,53.2,17.6,29.4,30.8,33.1,43.2,71.2,8.7,8.9,9.4,41.5,28.8,18.4,55.7,25.9,16.6,55.4,28.0
114,Houston,63.8,18.8,17.7,117.3,90.8,63.8,117.3,53.6,17.1,37.8,28.7,90.8,43.5,21.7,27.3,35.1,34.1,55.1,66.9,6.4,9.0,8.1,59.5,39.1,15.2,53.1,31.7,22.1,44.5,33.4
115,Houston Baptist,68.7,18.0,15.8,95.3,112.5,68.7,95.3,48.8,20.7,29.3,37.8,112.5,55.3,19.1,27.3,37.8,30.5,50.5,71.5,9.0,11.0,9.7,47.7,35.7,21.7,52.2,26.1,20.5,50.5,29.0
